domain,scraped_at,id,name,image,status,urgency,special_case,class,since,gender,age,birthday,race,sice,weight,chip,situation,location,health,description
protectoraoriolana.org,2018-04-15 22:41:07.526662,2490,IVAR,http://protectoraoriolana.org/imas/animales/_2490/a_24901522080526.jpg,en adopción,NO,NO,Perro,14-2-2018,Macho,3 meses y 1 día,1/2018,Mestizo P.P.P,Mediano,NA,NA,NA,Orihuela (Alicante),Desparasitado y pendiente de vacunacion.,"IVAR es mucho mas tranquilo que su hermano BJORN, le gusta quedarse tumbado a tu lado mientras ve lo que estas haciendo. Pero tambien se pone muy jugueton en cuanto su hermano le pide juego."
barcelonagatigos.org,2018-04-15 22:41:09.017479,471,Gatita perdida,http://barcelonagatigos.org/imas/animales/_471/a_4711410803012.jpg,perdido,NO,NO,Gato,15-7-2014,Hembra,6 años y 7 meses,8/2011,"Europea, atigrada y blanco",Mediano,NA,NA,NA,Barcelona (Barcelona),NA,Gatita perdida este verano (julio-agosto) en Barcelona. (Dos de Maig-Provença)
adoptamics.org,2018-04-15 22:41:09.059019,2072,NA,http://adoptamics.org/imas/animales/_2072/a_20721439926827.jpg,perdido,NO,NO,Perro,18-8-2015,Hembra,3 años y 7 meses,8/2014,Pastores Alemanes,Grande,NA,Si,NA,Novelda (Alicante),Esterilizadas.,"Estas dos perritas de raza Pastor Alemán desaparecieron el 16/08/15 en Novelda, zona Horna baja."
protectoradeibi.com,2018-04-15 22:41:09.299781,1436,Argo,http://protectoradeibi.com/imas/animales/_1436/a_14361383652312.jpg,perdido,NO,NO,Perro,2-11-2013,Macho,16 años y 5 meses,11/2001,cocker Spaniel,Mediano,NA,NA,NA,Muro de Alcoy (Alicante),NA,El pasado sábado día 02/11 se escapo Argo de la caseta ubicada en la zona de la plana de Muro de Alcoy.
proteccionfelina.org,2018-04-15 22:41:09.972331,1357,Califa,http://proteccionfelina.org/imas/animales/_1357/a_13571463992396.jpg,en adopción,NO,NO,Gato,23-5-2016,Hembra,2 años y 9 meses,7/2015,Comun Europeo,Mediano,NA,NA,NA,Madrid (Madrid),Salud,"Esta preciosa gata muy buena y tranquila fue rescatada por un estudiante de Erasmus, ahora su rescatador tiene que volver a su país y no se la puede llevar. Necesita adopción URGENTE."
adamprotectora.org,2018-04-15 22:41:10.723163,1109,Muga,http://adamprotectora.org/imas/animales/_1109/a_11091520585749.jpg,en adopción,NO,NO,Perro,11-12-2017,Hembra,2 años y 4 meses,12/2015,x tipo podenco,Mediano,20 kgs,NA,NA,El Masnou (Barcelona),NA,"Perrita rcogida con cinco cachorros, de unos dos meses escasos."
asokaelgrande.org,2018-04-15 22:41:11.524289,8646,Wolf,http://asokaelgrande.org/imas/animales/_8646/a_86461523205710.jpg,en adopción,NO,NO,perros,2-4-2018,Macho,1 año,4/2017,Mestizo,Grande,34 KG,NA,NA,Alicante (Alicante),"Desparasitado, vacunado.",NA
protectoradecastalla.org,2018-04-15 22:41:11.545318,1284,Mauro,http://protectoradecastalla.org/imas/animales/_1284/a_12841519761849.jpg,en adopción,NO,NO,Gato,26-2-2018,Macho,"11 meses , 19 días",4/2017,Comun Europeo,Pequeño,NA,NA,NA,Castalla (Alicante),Buena,"Se ha encontrado por la calle del BBVA, aquí en Castalla, con collar rojo. Nos extraña mucho que haya sido abandonado porque es muy sociable y bueno. Lleva un collar rojo, nuevo. No está castrado."
barcelonagatigos.org,2018-04-15 22:41:13.216564,586,Clara,http://barcelonagatigos.org/imas/animales/_586/a_5861449059894.jpg,recuperado,NO,NO,Gato,26-11-2015,Hembra,4 años y 4 meses,12/2013,"Europeo, blanco y atigrado",Mediano,NA,NA,NA,Barcelona (Barcelona),NA,NA
proteccionfelina.org,2018-04-15 22:41:13.624035,1610,Megara e Indi,http://proteccionfelina.org/imas/animales/_1610/a_16101504692826.jpg,en adopción,NO,NO,Gato,6-9-2017,Hembra,1 año,3/2017,Comun Europeo,Pequeño,NA,NA,NA,Madrid (Madrid),Salud,"Fueron rescatados del patio de una casa abandonada y son muy cariñosos y juguetones. Son hermanos, de unos 3 meses. Megara, negra y blanca, tiene unos graciosos bigotes blancos. La encanta observar lo que haces. Indi, negro y un comilón no para de investigar y jugar con su hermana Megara. Busco adopción conjunta."
laperritavaliente.org,2018-04-15 22:41:15.054895,1031,Eric,http://laperritavaliente.org/imas/animales/_1031/a_10311522787774.jpg,En adopción,NO,NO,Perro,3-4-2018,Macho,2 años,3/2016,Mestizo precioso y simpático,Pequeño,NA,NA,NA,Valencia (Valencia),NA,"Eric es un pequeño simpatiquísimo, tiene muchísimas ganas de encontrar una familia para jugar, para pasear, para amar..."
protectoradecastalla.org,2018-04-15 22:41:15.081372,1294,Lena,http://protectoradecastalla.org/imas/animales/_1294/a_12941522934267.jpg,en adopción,NO,NO,Perro,4-4-2018,Hembra,1 año,4/2017,Podenco,Pequeño,NA,NA,NA,Castalla (Alicante),"Buena, desparasitado","Lena estaba abandonada en una jaula en la urbanizacion Castalla Internacional, conjuntos con dos gatitos. Cada año la misma cosa, abandonado en transportines nuevos. Es una perrita muy buena y cariña. Esperamos que va a acostumbrarse a la vida en un albergue, muy pronto."
asokaelgrande.org,2018-04-15 22:41:15.913661,5136,Fum,http://asokaelgrande.org/imas/animales/_5136/a_51361495748202.jpg,en adopción,SI,NO,perros,28-10-2013,Macho,9 años y 5 meses,10/2008,Mestizo de Pastor Alemán,Grande,41 kg,NA,NA,Alicante,Desparasitado. Vacunado. Castrado,"Llegué junto a mi gran amigo Tom al albergue yo era como su papá siempre habíamos vivido juntos y él tuvo la gran suerte que hace unos años fue adoptado por uno de los voluntarios del albergue, me alegre tanto..."
nuevavida-adopciones.org,2018-04-15 22:41:16.587197,2533,Balu,https://nuevavida-adopciones.org/imas/animales/_2533/a_25331287862882.jpg,adoptado,NO,NO,Perro,23-2-2012,Macho,8 años y 6 meses,10/2009,NA,Grande,NA,NA,NA,NA,"Vacunas, chip, esterilizado.",Este grandullón es un buenazo que con una mirada que te enamora.
protectorayecla.com,2018-04-15 22:41:16.762543,235,camilo,http://protectorayecla.com/imas/animales/_235/a_2351341485554.jpg,recuperado,SI,NO,Gato,5-7-2012,Macho,12 años y 10 meses,6/2005,Gato Romano,Grande,6 kg,si,NA,Yecla (Murcia),En perfecto estado de salud. Castrado y con microchip.,Es un macho atigrado con ojos verdes y con el rabo corto de nacimiento y un poco torcido. Es un gato muy dócil y responde al nombre de Camilo. Lleva microchip y está castrado. Ha desaparecido hace un par de días por los campos de la carretera de Jumilla (cerca de magaña y marathon) Su dueña está muy preocupada pq nunca se había desaparecido tanto tiempo y lo busca desesperadamente si alguién lo ha visto que llame al teléfono: 677 80 98 94
protectoradeibi.com,2018-04-15 22:41:16.970823,2210,René,http://protectoradeibi.com/imas/animales/_2210/a_22101523531157.jpg,en adopción,NO,NO,Gato,22-1-2018,Macho,1 año y 1 mes,3/2017,Común,Mediano,NA,NA,Refugio,Ibi,Buena. Desparasitado interna y externamente. Castrado. Negativo en Leucemia y VIF. Vacunado.,"René fue rescatado de la calle, como muchos otros. Suponemos que lo abandonaron y al ser gato casero, no supo buscarse la vida en la calle y llegó a la protectora en un estado lamentable, flaco y enfermo. Tras los tratamientos que le pautó el veterinario, René se ha recuperado y ahora es un gato sano y bien guapo. Sabemos que le saldrán muchos ""pretendientes"" al ser tan blanquito y mono. Aún así, explicaremos que tiene un carácter extraordinario y que es muy juguetón, activo porque es joven y divertido. Se lleva bien con todos sus congéneres y es muy sociable con personas. Le gusta correr y hacer travesuras. Esperemos que se cumplan nuestros pronósticos y no pase demasiado tiempo en el albergue. Ven a conocerlo!!!"
proteccionfelina.org,2018-04-15 22:41:17.446307,1611,Gary y Kúper,http://proteccionfelina.org/imas/animales/_1611/a_16111504693143.jpg,en adopción,NO,NO,Gato,6-9-2017,Macho,11 meses,5/2017,Comun Europeo,Pequeño,NA,NA,NA,Madrid (Madrid),Salud,"El 11 de junio rescaté a Gary y el 15 de junio a Kúper. A Gary le amputaron una pata pero está fenomenal. Los dos son inseparables por lo que necesitan adopción conjunta. Son adorables, cada día más juguetones y cariñosos."
protectoraoriolana.org,2018-04-15 22:41:18.098971,2448,CAMPEÓN,http://protectoraoriolana.org/imas/animales/_2448/a_24481510332127.jpg,en adopción,NO,NO,Perro,11-10-2017,Macho,1 año y 11 meses,5/2016,Mestizo,Mediano,NA,NA,NA,Orihuela - La Murada (Alicante),Vacunado y desparasitado,"Tiene character bueno, es muy cariñoso con gente, juguetón y perrito alegro."
asokaelgrande.org,2018-04-15 22:41:19.727871,8356,Ariel,http://asokaelgrande.org/imas/animales/_8356/a_83561522689872.jpg,en adopción,NO,NO,Gato,9-8-2017,Hembra,6 años y 3 meses,1/2012,Común europeo,Mediano,NA,NA,NA,Alicante (Alicante),Desparasitada. Negativa Leucemia. Negativa VIF. Esterilizada. Vacunada.,"Ariel es una jovenzuela dulce, adorable y tranquila, a la que le encanta que los voluntarios le dediquen incontables mimitos; a cambio ella los recompensa con abrazos (sí, sí, abraza, lo prometemos!!) y subiéndose sobre sus hombros como un gato-loro, jeje. Pero por si esto no fuese suficiente, Ariel es una preciosa blanquita con unos impresionantes ojazos de color azul que te hipnotizan cuando te miran. ¿A qué estáis esperando para adoptarla o acogerla en vuestra casa? No os vais a arrepentir!!"
nuevavida-adopciones.org,2018-04-15 22:41:20.043221,3940,Thob y Rock,https://nuevavida-adopciones.org/imas/animales/_3940/a_39401332163499.jpg,adoptado,NO,NO,Perro,19-3-2012,Macho,7 años y 7 meses,9/2010,Cruce de chiguagua,Pequeño,NA,NA,NA,NA,NA,"EStos dos chiquitines son THOB y ROCK, preciosos cruce de chiguagua, uno de pelito largo y otro corto. Sólo tienen añito y medio escaso y ya saben lo que es UN DESAHUCIO... sus dueños se han quedado en la calle y ellos han ido a parar a una jaula. Estan muy tristes y deprimidos, NO ENTIENDEN QUE ESTÁ PASANDO, es MUY URGENTE econtrar un hogar para ellos de ACOGIDA o definitivo... POBRES PERRITOS, son más que buenos....."
protectorayecla.com,2018-04-15 22:41:20.862695,260,Duna,http://protectorayecla.com/imas/animales/_260/a_2601358261552.jpg,recuperado,SI,NO,Perro,15-1-2013,Hembra,6 años y 3 meses,1/2012,mestizo,Pequeño,NA,no,NA,Yecla (Murcia),Tiene una herida en una de las patas traseras que estamos tratando.,"Duna es una perrita de un año de edad aproximadamente, es muy sociable, muy obediente y muy inteligente."
proteccionfelina.org,2018-04-15 22:41:21.031833,64,Mary,http://proteccionfelina.org/imas/animales/_64/a_641299956209.jpg,perdido,NO,NO,Gato,12-3-2011,Hembra,7 años y 1 mes,3/2011,Siames,Grande,NA,NA,NA,Madrid,NA,"Se ha escapado en la zona del metro de El Carmen. La gata se llama Mery, y como puedes ver en la foto es fácil de reconocer por la mancha blanca del hocico. Tiene los colores parecidos a un siamés pero es más robusta. Es muy cariñosa pero también muy miedosa. La última vez que se vio fue el martes 1 de marzo en la calle Cyesa con calle San Emilio."
protectoraoriolana.org,2018-04-15 22:41:21.161117,2459,TOPANGA,http://protectoraoriolana.org/imas/animales/_2459/a_24591513181985.jpg,en adopción,NO,NO,Perro,12-11-2017,Hembra,2 años y 5 meses,11/2015,Mestiza de Huskey,Mediano,NA,NA,NA,Orihuela (Alicante),"Vacunada, desparasitada y esterelisada. Tests negativos.",NA
protectoradeibi.com,2018-04-15 22:41:21.374644,2194,Bud,http://protectoradeibi.com/imas/animales/_2194/a_21941517316710.jpg,en adopción,NO,NO,Perro,30-10-2017,Macho,3 años y 2 meses,1/2015,Pitbull,Grande,60 kg,NA,NA,Onil (Alicante),"Aparentemente buena. Desparasitado, vacunado y castrado.",Mi nombre es Bud.
adamprotectora.org,2018-04-15 22:41:21.414309,1051,Tak i Mojito,http://adamprotectora.org/imas/animales/_1051/a_10511480097154.jpg,recuperado,NO,NO,Perro,25-11-2016,Macho,1 año y 4 meses,11/2016,Pastor Alemán- Dalmata,Grande,NA,Si,NA,Alella (Barcelona),NA,PERDIDOS EN ALELLA
asokaelgrande.org,2018-04-15 22:41:23.964501,8470,Xana,http://asokaelgrande.org/imas/animales/_8470/a_84701510727468.jpg,en adopción,NO,NO,perros,5-11-2017,Hembra,1 año y 5 meses,11/2016,Podenca,Mediano,NA,NA,NA,Alicante (Alicante),"Desparasitada, vacunada, esterilizada.","Xana es uno de tantos podencos que son abandonados y vagan por ahi buscándose la vida y exponiéndose a numerosos peligros. Parece que tuvo cachorros no hace mucho, pero no hay ni rastro de ellos a saber dónde han acabado...Por suerte para ella se pudo rescatar y ahora está segura en el albergue. Es de tamaño pequeño, preciosa, sociable con otros perros, es miedosa y desconfiada con el humano seguramente nunca recibió buen trato, poco a poco mejora y va sintiéndo que ahora no le haremos daño"
barcelonagatigos.org,2018-04-15 22:41:24.192274,38,MICKY SE HA PERDIDO - TERRASSA,http://barcelonagatigos.org/imas/animales/_38/a_381297168052.jpg,perdido,SI,NO,Gato,8-2-2011,Macho,7 años y 2 meses,2/2011,NA,Mediano,NA,NA,NA,Terrassa (Barcelona),NA,"El 7 de febrero se perdió este gato en Terrassa, en la zona Pza. 1º de Mayo / Dr. Calsina / Pompeu Fabra."
caballoastur.com,2018-04-15 22:41:25.077888,63,Lola,http://caballoastur.com/imas/animales/_63/a_631308307975.jpg,perdido,NO,NO,Pony,17-6-2011,Hembra,10 años y 9 meses,6/2007,Asturcona,Mediano,NA,NA,NA,Noreña (Asturias),Salud,"Es una asturcona sana , aunque no esta completamente domada. Tiene carácter, por lo que no se dará en adopción a gente inexperta."
adamprotectora.org,2018-04-15 22:41:25.417742,1081,Fredy,http://adamprotectora.org/imas/animales/_1081/a_10811517383951.jpg,en adopción,NO,NO,Perro,10-4-2017,Macho,5 años y 3 meses,1/2013,amerian stanford,Mediano,NA,NA,NA,El Masnou (Barcelona),NA,Precioso y de buen carácter.
barcelonagatigos.org,2018-04-15 22:41:27.558213,39,SWEETY SE HA PERDIDO - BARCELONA (HOSPITAL DE ST. PAU/PADILLA),http://barcelonagatigos.org/imas/animales/_39/a_391298548542.jpg,perdido,NO,NO,Gato,24-2-2011,Macho,6 años y 9 meses,7/2011,NA,Mediano,NA,NA,NA,NA,NA,Sweety tiene 7 meses y desapareció de su casa el 13 de febrero.
adamprotectora.org,2018-04-15 22:41:27.592754,1072,FRODO,http://adamprotectora.org/imas/animales/_1072/a_10721493048538.jpg,en adopción,NO,NO,Perro,24-4-2017,Macho,2 años y 8 meses,8/2015,x american stanford,Grande,25-30 kilos,NA,NA,Alella (Barcelona),NA,De la protectora ADANA nos piden ayuda para Frodo y él mismo nos cuenta:
nuevavida-adopciones.org,2018-04-15 22:41:27.714331,4496,Bonita,https://nuevavida-adopciones.org/imas/animales/_4496/a_44961346317047.jpg,perdido,NO,NO,Perro,30-8-2012,Hembra,NA,NA,Podenca,Mediano,NA,NA,NA,Cordoba,DESAPARECIDA AYUDA A DIFUSIÓN,NA
laperritavaliente.org,2018-04-15 22:41:28.136970,356,Leo,http://laperritavaliente.org/imas/animales/_356/a_3561515353579.jpg,En adopción,SI,NO,Perro,1-3-2011,Macho,7 años y 7 meses,9/2010,X Pastor Alemán,Grande,17 kilos+-,NA,Residencia,Valencia (Valencia),Salud,Leo desea tener una familia que lo quiera y lo cuide.
vydanimal.org,2018-04-15 22:41:28.180359,382,TIZÓN,http://vydanimal.org/imas/animales/_382/a_3821400936355.jpg,Perdido,NO,NO,Gato,23-5-2014,Macho,4 años y 1 mes,3/2014,Comun europeo,Pequeño,NA,NA,NA,Arganda del Rey (Madrid),"Test leucemia-imunodeficiencia negativo. Desparasitado. Se entregará vacunado, con chip y compromiso de esterilización entre los 5-6 meses de edad. Con contrato de adopción.",Tizón y su hermano Bambam entraron juntos en una jaula trampa en una de las colonias que estamos gestionando.
adoptamics.org,2018-04-15 22:41:28.218540,1763,Stiwi,http://adoptamics.org/imas/animales/_1763/a_17631416266574.jpg,perdido,NO,NO,Gato,4-11-2014,Macho,3 años y 10 meses,5/2014,NA,Mediano,NA,NA,NA,Monforte (Alicante),NA,"Stiwi se ha perdido en Monforte, al final de la Avenida de Alicante. Es un gato gris atigrado. Es muy simpático y dulce, se deja tocar y coger por cualquiera, le encanta que le rasquen la cabeza, es muy cariñoso."
protectoraoriolana.org,2018-04-15 22:41:28.338177,2427,PEPA,http://protectoraoriolana.org/imas/animales/_2427/a_24271510515036.jpg,en adopción,NO,NO,Perro,13-9-2017,Hembra,1 año y 7 meses,9/2016,MESTIZA PPP,Mediano,NA,NA,NA,Orihuela (Alicante),"Se entregará vacunada, esterilizada y desparasitada.","Es muy cariñosa y tranquila cuando la paseas, se deja bien quitar y poner la correa y le encanta pasear. Pepa ya ha sido esterilizada!"
protectorayecla.com,2018-04-15 22:41:28.558056,701,Tico,http://protectorayecla.com/imas/animales/_701/a_7011519220088.jpg,en adopción,SI,NO,Perro,21-2-2018,Macho,1 año y 11 meses,5/2016,mix mini pincher,Pequeño,8 kg,NA,Refugio,Yecla (Murcia),Bien de salud,"Este chiquitín es Tico, apareció por un campo en diciembre de 2017 y estuvo allí varias semanas. Vino con una podenquita embarazada que tuvo una camada en este campo, y él suponemos que fue el padre. Al final tuvo que subir al albergue porque en el campo se quedó solo sin atención, y nos ha resultado un perrete muy simpático, tanto con personas como con otros animales. ¡Anímate a contagiarte de su alegría!"
adoptamics.org,2018-04-15 22:41:28.674139,1782,NA,http://adoptamics.org/imas/animales/_1782/a_17821417782258.jpg,encontrado,NO,NO,Gato,5-12-2014,Hembra,3 años y 4 meses,12/2014,NA,Mediano,NA,NA,NA,Petrer (Alicante),NA,"Este gatito ha aparecido en el parque del Campet, en Petrer. Pensamos que ha podido perderse, porque está muy bien cuidado y es muy cariñoso, enseguida se ha acercado a saludar pidiendo mimos."
barcelonagatigos.org,2018-04-15 22:41:30.858503,337,Soy Bufanda. Me he perdido!,http://barcelonagatigos.org/imas/animales/_337/a_3371378331529.jpg,perdido,NO,NO,Gato,1-9-2013,Hembra,NA,NA,Europea,Mediano,NA,NA,NA,Barcelona (Barcelona),NA,"Me he perdido! Me llamo Bufanda, soy una gatita que vive en el Barri Gótic de Barcelona. Quiero volver a mi casa, ayúdame a reencontrarme con mi familia. Muchas gracias. Teléfono: 622083785"
vydanimal.org,2018-04-15 22:41:31.099418,14,MICHI,http://vydanimal.org/imas/animales/_14/a_141300929094.jpg,Perdido,SI,NO,Gato,10-3-2011,Macho,23 años,3/1995,Común europeo,Grande,NA,No,NA,Perales del Rio (Madrid),Tiene problemas de corazón,Se ha perdido Michi por Perales del Rio.
adamprotectora.org,2018-04-15 22:41:31.866024,1073,Alba i Mar,http://adamprotectora.org/imas/animales/_1073/a_10731493130709.jpg,en adopción,NO,NO,Perro,25-4-2017,Hembra,2 años y 3 meses,1/2016,podencos,Mediano,10 y 12 kilos,NA,NA,Barcelona (Barcelona),NA,"Alba y Mar, dos podenquitas de 15 meses, con vacunas y chip. Por motivos de salut no las pueden atender, y nos piden ayuda para encontrarles nueva familia."
laperritavaliente.org,2018-04-15 22:41:32.155825,1020,Teófilo,http://laperritavaliente.org/imas/animales/_1020/a_10201516191769.jpg,En adopción,NO,NO,Gato,17-1-2018,Macho,2 años y 1 mes,2/2016,Comun,Pequeño,NA,NA,En perrera,Valencia (Valencia),Salud,"Gatito muy simpatico, sociable y cariñoso. Listo para entrar en tu casa y sentarse encima tuyo a ronronearte!"
asokaelgrande.org,2018-04-15 22:41:32.214439,8316,Moncho,http://asokaelgrande.org/imas/animales/_8316/a_83161501887935.jpg,recuperado,NO,NO,perros,26-7-2017,Macho,4 años,3/2014,Mestizo,Grande,NA,NA,NA,Alicante (Alicante),"Desparasitado, vacunado, castrado.",NA
adoptamics.org,2018-04-15 22:41:32.335233,1796,Chimo,http://adoptamics.org/imas/animales/_1796/a_17961418558030.jpg,recuperado,NO,NO,Perro,14-12-2014,Macho,3 años y 10 meses,6/2014,Mestizo,Mediano,NA,NA,NA,Novelda (Alicante),NA,"No sabemos el tiempo que Hope y su hijo Chimo llevaban abandonados, alimentándose de los contenedores y la caridad de un buen vecino. Según nos han contado, Chimo tenía 4 hermanitos más que fueron falleciendo por diversas causas. Cuando nos avisaron sólo quedaban ellos dos... No han tenido una vida fácil, pero a partir de ahora su suerte va a cambiar, nos encargaremos de buscar buenas familias para ellos."
protectoraoriolana.org,2018-04-15 22:41:32.480068,2417,TULI,http://protectoraoriolana.org/imas/animales/_2417/a_24171510515214.jpg,en adopción,NO,NO,Perro,22-9-2017,Macho,1 año y 6 meses,9/2016,Mestizo,Grande,NA,NA,NA,Orihuela - Villamartín (Alicante),"Se entregará vacunado, castrado y desparasitado","Tuli es un perro bueno pero con mucha energía, aunque pasea bien con la correa. Se lleva bien con hembras, con machos no lo hemos probado."
protectoradeibi.com,2018-04-15 22:41:34.293647,2179,Calimero,http://protectoradeibi.com/imas/animales/_2179/a_21791508861339.jpg,en adopción,NO,NO,Perro,24-9-2017,Macho,2 años y 5 meses,10/2015,pitbull terrier,Mediano,27 kg,NA,NA,NA,"Aparentemente buena. Desparasitado, vacunado y castrado.","Este es Calimero, un precioso pitbull terrier."
asokaelgrande.org,2018-04-15 22:41:34.550577,8458,Thor,http://asokaelgrande.org/imas/animales/_8458/a_84581509448528.jpg,recuperado,NO,NO,perros,27-10-2017,Macho,6 años y 4 meses,11/2011,Pomerania,Pequeño,NA,NA,NA,Alicante (Alicante),NA,NA
vydanimal.org,2018-04-15 22:41:34.746703,55,JULIETA,http://vydanimal.org/imas/animales/_55/a_551309776465.jpg,Recuperado,SI,NO,Perro,4-7-2011,Hembra,6 años y 9 meses,7/2011,Podenca mezclada,Pequeño,NA,NA,NA,(Madrid),NA,NA
nuevavida-adopciones.org,2018-04-15 22:41:35.458134,807,Pocholo,https://nuevavida-adopciones.org/imas/animales/_807/a_8071521419489.jpg,en adopción,NO,NO,Perro,13-1-2018,Macho,4 meses y 18 días,11/2017,Cruce de Pastor Alemán,Grande,20kg de adulto,NA,NA,Madrid,Buena,"A Pocholo le cambió la suerte cuando lo encontraron y lo rescataron, su rescatadora lo crió a biberón a él y a sus 6 hermanitos, después de encontrarlos abandonados a su suerte en un invernadero. Ahora necesitan encontrar a su familia definitiva, esa que puedes darlos tú! Adóptalo! Se quedarán encantados de que les des un hogar."
laperritavaliente.org,2018-04-15 22:41:35.784139,1021,Crispín,http://laperritavaliente.org/imas/animales/_1021/a_10211516375516.jpg,En adopción,NO,NO,Gato,19-1-2018,Macho,3 años y 5 meses,10/2014,NA,Pequeño,NA,NA,En perrera,Valencia (Valencia),NA,"Crispín os saluda!! Esta gatito macho adulto busca una familia que he haga un huequito en su casa! Es una preciosidad y aunque es tímidillo al principio, luego es sociable y le encantará estar acompañado."
